"participant","block","trial","correct","latency"
6,"test.sc_dark.Darkgood","badleft",0,615
6,"test.sc_dark.Darkgood","darkright",1,488
6,"test.sc_dark.Darkgood","darkright",1,1490
6,"test.sc_dark.Darkgood","badleft",1,1503
6,"test.sc_dark.Darkgood","goodright",1,991
6,"test.sc_dark.Darkgood","badleft",1,563
6,"test.sc_dark.Darkgood","badleft",1,457
6,"test.sc_dark.Darkgood","darkright",0,598
6,"test.sc_dark.Darkgood","darkright",1,557
6,"test.sc_dark.Darkgood","goodright",1,556
6,"test.sc_dark.Darkgood","goodright",1,447
6,"test.sc_dark.Darkgood","badleft",1,575
6,"test.sc_dark.Darkgood","goodright",1,1072
6,"test.sc_dark.Darkgood","darkright",1,671
6,"test.sc_dark.Darkgood","goodright",1,595
244,"test.sc_dark.Darkbad","darkleft",1,461
244,"test.sc_dark.Darkbad","badleft",1,1495
244,"test.sc_dark.Darkbad","darkleft",1,639
244,"test.sc_dark.Darkbad","badleft",1,573
244,"test.sc_dark.Darkbad","goodright",1,671
244,"test.sc_dark.Darkbad","badleft",1,643
244,"test.sc_dark.Darkbad","darkleft",1,714
244,"test.sc_dark.Darkbad","goodright",1,1190
244,"test.sc_dark.Darkbad","darkleft",1,625
244,"test.sc_dark.Darkbad","darkleft",1,517
244,"test.sc_dark.Darkbad","goodright",1,700
244,"test.sc_dark.Darkbad","goodright",1,950
244,"test.sc_dark.Darkbad","badleft",1,617
244,"test.sc_dark.Darkbad","darkleft",0,834
244,"test.sc_dark.Darkbad","darkleft",1,737
244,"test.sc_dark.Darkbad","darkleft",1,474
244,"test.sc_dark.Darkbad","goodright",1,727
244,"test.sc_dark.Darkbad","badleft",1,853
244,"test.sc_dark.Darkbad","badleft",1,991
244,"test.sc_dark.Darkbad","badleft",1,674
244,"test.sc_dark.Darkbad","goodright",1,678
244,"test.sc_dark.Darkbad","badleft",1,717
244,"test.sc_dark.Darkbad","darkleft",1,692
244,"test.sc_dark.Darkbad","goodright",1,645
244,"test.sc_dark.Darkbad","goodright",1,1508
244,"test.sc_dark.Darkbad","badleft",1,615
244,"test.sc_dark.Darkbad","darkleft",0,1056
244,"test.sc_dark.Darkbad","badleft",1,1305
244,"test.sc_dark.Darkbad","goodright",1,852
244,"test.sc_dark.Darkbad","goodright",1,1509
244,"test.sc_dark.Darkbad","goodright",1,2824
244,"test.sc_dark.Darkbad","darkleft",1,688
244,"test.sc_dark.Darkbad","badleft",1,615
244,"test.sc_dark.Darkbad","badleft",1,625
244,"test.sc_dark.Darkbad","goodright",1,813
244,"test.sc_dark.Darkbad","goodright",1,862
244,"test.sc_dark.Darkbad","goodright",1,631
244,"test.sc_dark.Darkbad","goodright",1,691
244,"test.sc_dark.Darkbad","goodright",1,861
244,"test.sc_dark.Darkbad","badleft",1,606
244,"test.sc_dark.Darkbad","goodright",1,629
244,"test.sc_dark.Darkbad","goodright",1,665
244,"test.sc_dark.Darkbad","goodright",1,565
244,"test.sc_dark.Darkbad","darkleft",1,694
244,"test.sc_dark.Darkbad","badleft",1,1224
244,"test.sc_dark.Darkbad","alert",1,571
244,"test.sc_dark.Darkbad","darkleft",1,469
